Classifier,Accuracy,Precision,Recall,F1,CV_Mean,CV_Std
Logistic Regression,0.5689053641517663,0.563238512035011,0.5679611650485437,0.5655899802241265,0.5816618977177109,0.010380653123901223
SVM (Linear),0.5787178368948975,0.5727351916376306,0.5803177405119153,0.5765015344147304,0.5864044383771247,0.007547304109989707
SVM (RBF),0.6223288268643699,0.6216955332725616,0.6019417475728155,0.611659192825112,0.6121348127923749,0.007263469914994183
Random Forest,0.6053205407762756,0.6036363636363636,0.5860547219770521,0.5947156291983878,0.6045569098042993,0.008717031681865146
